combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
math1k_Qwen2.5-3B,1,L1,0.9775125628140701,0.0014213201631890033,199
math1k_Qwen2.5-3B,1,L2,0.6978852596314908,0.003033254103344903,199
math1k_Qwen2.5-3B,1,L3,0.4964195979899497,0.0048511010070164794,199
math1k_Qwen2.5-3B,1,L4,0.29396551724137926,0.006145801436284098,203
math1k_Qwen2.5-3B,1,L5,0.056875000000000016,0.001719374886404947,200
math1k_Qwen2.5-3B,1,overall,0.5032416666666666,0.0038954815120459158,1000
math1k_Qwen2.5-3B,2,L1,0.9690012562814072,0.0005656754925838972,199
math1k_Qwen2.5-3B,2,L2,0.696922110552764,0.005133412406113478,199
math1k_Qwen2.5-3B,2,L3,0.5148555276381908,0.005340562934680485,199
math1k_Qwen2.5-3B,2,L4,0.32455870279146143,0.0028595350172034447,203
math1k_Qwen2.5-3B,2,L5,0.07336458333333332,0.0017714827240666807,200
math1k_Qwen2.5-3B,2,overall,0.5145333333333333,0.0036429466698447363,1000
math1k_Qwen2.5-3B,4,L1,0.9894140843104412,0.00044200641938145637,199
math1k_Qwen2.5-3B,4,L2,0.847958542713568,0.004565002929296671,199
math1k_Qwen2.5-3B,4,L3,0.6631909547738694,0.0018841545501470391,199
math1k_Qwen2.5-3B,4,L4,0.42219827586206904,0.0023162769740108693,203
math1k_Qwen2.5-3B,4,L5,0.08317013888888886,0.0017649247833096571,200
math1k_Qwen2.5-3B,4,overall,0.5999524305555556,0.0025699148657315272,1000
math1k_Qwen2.5-3B,8,L1,0.9948041297758635,0.0007518276883055948,199
math1k_Qwen2.5-3B,8,L2,0.9109646945042674,0.0025956002558165684,199
math1k_Qwen2.5-3B,8,L3,0.7673527359017309,0.0028273154283000876,199
math1k_Qwen2.5-3B,8,L4,0.5316164770505901,0.005513788754381305,203
math1k_Qwen2.5-3B,8,L5,0.11958874007936506,0.000878495451101413,200
math1k_Qwen2.5-3B,8,overall,0.6637870833333332,0.0030610216034359645,1000
math1k_Qwen2.5-3B,16,L1,0.9987925739810161,0.00020797968210153734,199
math1k_Qwen2.5-3B,16,L2,0.9474263679508653,0.0009844527071905301,199
math1k_Qwen2.5-3B,16,L3,0.833707343686929,0.001234675579902373,199
math1k_Qwen2.5-3B,16,L4,0.5851877404432823,0.0031631455664455597,203
math1k_Qwen2.5-3B,16,L5,0.11885466781482402,0.002858494602357778,200
math1k_Qwen2.5-3B,16,overall,0.6957693757110944,0.0020420923559172025,1000
math1k_Qwen2.5-3B,32,L1,0.9993823283082076,0.00017950615786731082,199
math1k_Qwen2.5-3B,32,L2,0.9593104410943608,0.001845620753218498,199
math1k_Qwen2.5-3B,32,L3,0.8770726898380792,0.00322009377371672,199
math1k_Qwen2.5-3B,32,L4,0.6436473971772616,0.001738982902021401,203
math1k_Qwen2.5-3B,32,L5,0.13432944487895146,0.0021493183381787262,200
math1k_Qwen2.5-3B,32,overall,0.7218436369916633,0.0020701447485924505,1000
math1k_Qwen2.5-3B,64,L1,0.9998953098827471,0.00011695343420242105,199
math1k_Qwen2.5-3B,64,L2,0.9662479061976548,0.0014605678414234395,199
math1k_Qwen2.5-3B,64,L3,0.9029505164712451,0.00194458241055269,199
math1k_Qwen2.5-3B,64,L4,0.6767066912972085,0.0038505538698446512,203
math1k_Qwen2.5-3B,64,L5,0.13177939814814812,0.0018709097052670566,200
math1k_Qwen2.5-3B,64,overall,0.7346769907407408,0.002211251469038593,1000
math1k_Qwen2.5-3B,128,L1,1.0,0.0,199
math1k_Qwen2.5-3B,128,L2,0.9684568676716919,0.0007033119165742349,199
math1k_Qwen2.5-3B,128,L3,0.9145589056393075,0.0017917207135367023,199
math1k_Qwen2.5-3B,128,L4,0.6966885604816638,0.001525079265150142,203
math1k_Qwen2.5-3B,128,L5,0.13283715277777777,0.0020737803546882027,200
math1k_Qwen2.5-3B,128,overall,0.7417153472222222,0.0014385899999257413,1000
math1k_Qwen2.5-3B,256,L1,1.0,0.0,199
math1k_Qwen2.5-3B,256,L2,0.9704878559463985,0.0005078495898846076,199
math1k_Qwen2.5-3B,256,L3,0.9189803182579565,0.0007829533032179875,199
math1k_Qwen2.5-3B,256,L4,0.7079844006568144,0.0027144550781241722,203
math1k_Qwen2.5-3B,256,L5,0.1332694444444444,0.0015842095528708843,200
math1k_Qwen2.5-3B,256,overall,0.7453788888888888,0.0014734369833616827,1000
