model,dataset,stratum,N,best_t_mean,best_t_seed_std,t_star,level_n_problems,dataset_family,acc_t1p0_mean,acc_t0p1_mean,acc_random_t_mean,acc_equal_mix_mean,acc_consensus_vote_mean,acc_t1p0_std,acc_t0p1_std,acc_random_t_std,acc_equal_mix_std,acc_consensus_vote_std,acc_v1_mean,acc_v1_std,gap_vs_t1p0,gap_vs_t0p1,gap_vs_random_t,gap_vs_equal_mix,gap_vs_consensus_vote,gap_vs_v1
Llama-3.2-3B,gsm8kfull,L1,1,0.9845958204455522,0.000899346397854,0.1,901,gsm8kfull,0.858865152360183,0.9845958204455522,0.8973131731226269,0.9843923418423982,0.9843923418423982,0.0011762543812323,0.000899346397854,0.0012511896881099,0.0004937865422091,0.0004937865422091,,,0.12573066808536915,0.0,0.08728264732292523,0.0002034786031539504,0.0002034786031539504,
Llama-3.2-3B,gsm8kfull,L1,2,0.9844640223154348,0.0005180895292105,0.1,901,gsm8kfull,0.8642526836586889,0.9844640223154348,0.8997132835952448,0.9740612282648904,0.9740612282648904,0.0013751592894415,0.0005180895292105,0.0006444620424821,0.000520554236458,0.000520554236458,,,0.12021133865674594,0.0,0.08475073872019001,0.01040279405054445,0.01040279405054445,
Llama-3.2-3B,gsm8kfull,L1,4,0.9968083308023564,0.0001572235921637,0.1,901,gsm8kfull,0.9455681979915322,0.9968083308023564,0.9566773821338268,0.98819136145024,0.98819136145024,0.0007981777290169,0.0001572235921637,0.0003439156003524,0.0004200631928633,0.0004200631928633,,,0.05124013281082418,0.0,0.04013094866852962,0.008616969352116421,0.008616969352116421,
Llama-3.2-3B,gsm8kfull,L1,8,0.9995583613029994,6.932108286011753e-05,0.1,901,gsm8kfull,0.9732483705397884,0.9995583613029994,0.975611414452322,0.9917830496978662,0.9917830496978662,8.12431860541197e-05,6.932108286011753e-05,0.00060384383434,0.0001933660502319,0.0001933660502319,,,0.026309990763210944,0.0,0.02394694685067733,0.007775311605133117,0.007775311605133117,
Llama-3.2-3B,gsm8kfull,L1,16,0.9999653163482822,1.9123245847135574e-05,0.1,901,gsm8kfull,0.9837169352887164,0.9999653163482822,0.9832496310660392,0.995021735109138,0.9945781693180415,0.0006076247000026,1.9123245847135574e-05,0.00068366023147,9.164197030142794e-05,0.000197441499595,,,0.01624838105956583,0.0,0.016715685282242987,0.004943581239144179,0.00538714703024068,
Llama-3.2-3B,gsm8kfull,L1,32,1.0,0.0,0.1,901,gsm8kfull,0.9885504533832358,1.0,0.9862009039864666,0.995135035146134,0.995462603280306,0.0002500621750386,0.0,0.000312799616716,0.0001221075890829,0.0001846421418396,,,0.011449546616764228,0.0,0.013799096013533352,0.004864964853866005,0.004537396719693998,
Llama-3.2-3B,gsm8kfull,L1,64,1.0,0.0,0.1,901,gsm8kfull,0.9902031694627096,1.0,0.9868907235460124,0.995655290418054,0.9950548772968308,0.0002380911316274,0.0,0.0006878278639531,5.508776656522825e-05,0.0001717092158792,,,0.009796830537290413,0.0,0.013109276453987628,0.0043447095819459935,0.004945122703169158,
Llama-3.2-3B,gsm8kfull,L1,128,1.0,0.0,0.1,901,gsm8kfull,0.9909837835124145,1.0,0.987312708281551,0.9957315945246022,0.9946355900850906,0.0001418043652796,0.0,0.0003864455482454,0.0001931687162427,9.12326695942028e-05,,,0.009016216487585549,0.0,0.012687291718448956,0.004268405475397752,0.005364409914909385,
Llama-3.2-3B,gsm8kfull,L1,256,1.0,0.0,0.1,901,gsm8kfull,0.9914839992722096,1.0,0.987689604188198,0.9957177210506843,0.994274879763226,0.0001432174107058,0.0,0.0006110421139011,0.0001182640755876,0.0001146276980009,,,0.008516000727790352,0.0,0.012310395811802044,0.004282278949315654,0.005725120236773962,
Llama-3.2-3B,gsm8kfull,L1,512,1.0,0.0,0.1,901,gsm8kfull,0.991470125798085,1.0,0.9872826489940688,0.9957894006659268,0.994062153163152,0.0001970652034542,0.0,0.0005812085477476,3.799407307889279e-05,7.393403215583152e-05,,,0.008529874201914978,0.0,0.012717351005931188,0.004210599334073195,0.005937846836847949,
Llama-3.2-3B,gsm8kfull,L1,1024,1.0,0.0,0.1,901,gsm8kfull,0.991231964485216,1.0,0.9876849796737384,0.9957362190159084,0.9937245652978172,0.0001353641490341,0.0,0.0002366908078696,0.0001413915056336,0.0001255274700504,,,0.008768035514784,0.0,0.012315020326261639,0.004263780984091636,0.006275434702182836,
Llama-3.2-3B,gsm8kfull,L1,1536,1.0,0.0,0.1,901,gsm8kfull,0.9910793562757028,1.0,0.987772845011239,0.9957038475767664,0.9936528856825748,7.848021075122835e-05,0.0,0.0003755246858991,0.0001261393053735,6.950596587054616e-05,,,0.00892064372429724,0.0,0.012227154988761035,0.004296152423233557,0.006347114317425184,
Llama-3.2-3B,gsm8kfull,L1,2048,1.0,0.0,0.1,901,gsm8kfull,0.9909290603065364,1.0,0.9876433592586,0.9957061598224196,0.9936783203847576,8.343330880679422e-05,0.0,0.0004267681948215,3.0076974734582136e-05,5.166200534136091e-05,,,0.00907093969346362,0.0,0.012356640741399971,0.004293840177580388,0.006321679615242437,
Llama-3.2-3B,gsm8kfull,L2,1,0.7227150528661666,0.0056777105510051,0.1,62,gsm8kfull,0.5410618285137799,0.7227150528661666,0.5870295682501409,0.7193548387096774,0.7193548387096774,0.0082140041414892,0.0056777105510051,0.0042932986089021,0.007280431485995,0.007280431485995,,,0.18165322435238662,0.0,0.1356854846160257,0.0033602141564891275,0.0033602141564891275,
Llama-3.2-3B,gsm8kfull,L2,2,0.7194892488500124,0.0066583153627053,0.1,62,gsm8kfull,0.5603158604403738,0.7194892488500124,0.6036962350049327,0.694220430107527,0.694220430107527,0.010528299517731,0.0066583153627053,0.0050454286497052,0.0055940466224011,0.0055940466224011,,,0.15917338840963857,0.0,0.11579301384507967,0.025268818742485433,0.025268818742485433,
Llama-3.2-3B,gsm8kfull,L2,4,0.8614639345035758,0.0073617843020091,0.1,62,gsm8kfull,0.7022737496762828,0.8614639345035758,0.7249383986877498,0.8144377240143369,0.8144377240143369,0.0025710064350718,0.0073617843020091,0.0053228353753114,0.0041289190826036,0.0041289190826036,,,0.15919018482729308,0.0,0.13652553581582605,0.04702621048923894,0.04702621048923894,
Llama-3.2-3B,gsm8kfull,L2,8,0.9408770185965364,0.003765465570217,0.1,62,gsm8kfull,0.803737520450546,0.9408770185965364,0.8116856288485309,0.8738083237327189,0.8738083237327189,0.0035249392904724,0.003765465570217,0.0069451412058341,0.0044232461416345,0.0044232461416345,,,0.13713949814599036,0.0,0.12919138974800548,0.0670686948638175,0.0670686948638175,
Llama-3.2-3B,gsm8kfull,L2,16,0.9815860232037884,0.0026584361584436,0.1,62,gsm8kfull,0.8596024108820305,0.9815860232037884,0.8573991953926061,0.9206395609318996,0.914891862170088,0.0063830370306065,0.0026584361584436,0.0059011845424127,0.0028645605048018,0.0045646130528174,,,0.12198361232175792,0.0,0.12418682781118229,0.060946462271888824,0.0666941610337004,
Llama-3.2-3B,gsm8kfull,L2,32,0.995295700046324,0.0008030848089447,0.1,62,gsm8kfull,0.8932694906083446,0.995295700046324,0.8776489714340817,0.9352598566308244,0.9394489247311828,0.0033014234666495,0.0008030848089447,0.0054080236512802,0.0008851259741605,0.0029210301337768,,,0.10202620943797935,0.0,0.11764672861224224,0.0600358434154995,0.05584677531514115,
